[2019-07-12], IP = 192.168.1.145, FTP
[2019-07-12], IP = 192.168.1.58, FTP
[2019-07-12], IP = 192.168.1.52, SMB
[2019-07-12], IP = 192.168.1.44, FTP
[2019-07-12], IP = 192.168.1.34, RDP
[2019-07-12], IP = 192.168.1.18, FTP
[2019-07-12], IP = 192.168.1.99, RDP
[2019-07-12], IP = 192.168.1.22, RDP
[2019-07-12], IP = 192.168.1.11, SMB
[2019-07-12], IP = 192.168.1.08, FTP
[2019-07-12], IP = 192.168.1.09, ICMP
[2019-07-12], IP = 192.168.1.88, HTTPS
[2019-07-12], IP = 192.168.1.98, HTTP
[2019-07-12], IP = 192.168.1.145, FTP
[2019-07-12], IP = 192.168.1.58, FTP
[2019-07-12], IP = 192.168.1.52, SMB
[2019-07-12], IP = 192.168.1.44, FTP
[2019-07-12], IP = 192.168.1.34, RDP
[2019-07-12], IP = 192.168.1.18, FTP
[2019-07-12], IP = 192.168.1.99, RDP
[2019-07-12], IP = 192.168.1.22, RDP
[2019-07-12], IP = 192.168.1.11, SMB
[2019-07-12], IP = 192.168.1.08, FTP
[2019-07-12], IP = 192.168.1.09, ICMP
[2019-07-12], IP = 192.168.1.88, HTTPS
[2019-07-12], IP = 192.168.1.98, HTTP
[2019-07-12], IP = 192.168.1.145, FTP
